Color.Name,Hex.Code,Dec.Code,X.Code,HSL.Code,CMYK.Code
bacon,#C65D57,"rgb(198, 93, 87)","rgb(78%, 36%, 34%)","hsl(3, 49%, 56%)","cmyk(0%, 53%, 56%, 22%)"
chili,#D44942,"rgb(212, 73, 66)","rgb(83%, 29%, 26%)","hsl(3, 63%, 55%)","cmyk(0%, 66%, 69%, 17%)"
watermelon pulp,#F2473F,"rgb(242, 71, 63)","rgb(95%, 28%, 25%)","hsl(3, 87%, 60%)","cmyk(0%, 71%, 74%, 5%)"
cadmiumreddeep,#E3170D,"rgb(227, 23, 13)","rgb(89%, 9%, 5%)","hsl(3, 89%, 47%)","cmyk(0%, 90%, 94%, 11%)"
red delicious apple,#9D1309,"rgb(157, 19, 9)","rgb(62%, 7%, 4%)","hsl(4, 89%, 33%)","cmyk(0%, 88%, 94%, 38%)"
mistyrose3,#CDB7B5,"rgb(205, 183, 181)","rgb(80%, 72%, 71%)","hsl(5, 19%, 76%)","cmyk(0%, 11%, 12%, 20%)"
cola,#AF4035,"rgb(175, 64, 53)","rgb(69%, 25%, 21%)","hsl(5, 54%, 45%)","cmyk(0%, 63%, 70%, 31%)"
piglet snout,#ECC3BF,"rgb(236, 195, 191)","rgb(93%, 76%, 75%)","hsl(5, 54%, 84%)","cmyk(0%, 17%, 19%, 7%)"
gummi red,#FC1501,"rgb(252, 21, 1)","rgb(99%, 8%, 0%)","hsl(5, 99%, 50%)","cmyk(0%, 92%, 100%, 1%)"
bloodorange (Hex3),#CC1100,"rgb(204, 17, 0)","rgb(80%, 7%, 0%)","hsl(5, 100%, 40%)","cmyk(0%, 92%, 100%, 20%)"
mistyrose2,#EED5D2,"rgb(238, 213, 210)","rgb(93%, 84%, 82%)","hsl(6, 45%, 88%)","cmyk(0%, 11%, 12%, 7%)"
salmon (SVG),#FA8072,"rgb(250, 128, 114)","rgb(98%, 50%, 45%)","hsl(6, 93%, 71%)","cmyk(0%, 49%, 54%, 2%)"
mistyrose (SVG),#FFE4E1,"rgb(255, 228, 225)","rgb(100%, 89%, 88%)","hsl(6, 100%, 94%)","cmyk(0%, 11%, 12%, 0%)"
mistyrose4,#8B7D7B,"rgb(139, 125, 123)","rgb(55%, 49%, 48%)","hsl(7, 6%, 51%)","cmyk(0%, 10%, 12%, 45%)"
